Date,4YO,5YO,3-5YO Avg.
Jan-15,78000,69000,80000
Mar,72000,63000,79000
May,71000,62000,77000
Jul,70000,59000,74000
Sep,71000,57000,73000
Nov,69000,54000,72000
Jan-16,72000,53000,73000
Mar,66000,47000,67000
May,66000,44000,65000
Jul,65000,43000,63000
Sep,61000,45000,61000
Nov,59000,41000,59000
Jan-17,58000,40000,60000
Mar,63000,45000,62000
May,62000,44000,62000
Jul,61000,43000,61000
Sep,58000,41000,59000
Nov,52000,40000,56000
Jan-18,50000,41000,55000
Mar,65000,47000,66000
May,66000,49000,62000
