Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,77000,61000,78000
Mar,87000,70000,58000,75000
May,97000,70000,55000,75000
Jul,87000,67000,52000,70000
Sep,83000,66000,48000,66000
Nov,75000,63000,47000,63000
Jan-20,90000,68000,51000,68000
Mar,86000,61000,54000,64000
May,74000,57000,54000,60000
Jul,72000,55000,42000,57000
Sep,71000,53000,39000,55000
Nov,71000,53000,37000,54000
Jan-21,93000,57000,50000,62000
Mar,91000,73000,53000,75000
May,101000,78000,63000,80000
Jul,103000,81000,69000,85000
Sep,107000,87000,74000,91000
Nov,117000,96000,76000,99000
Jan-22,120000,120000,109000,125000
Mar,167000,138000,112000,141000
May,155000,141000,114000,138000
Jul,140000,113000,93000,114000
