Month,4YO Slpr,4YO Dycbs,5YO Slpr,5YO Dycbs,6YO Slpr,6YO Dycbs
Jan-22,122000,101000,107000,75000,80000,52000
Feb,133000,115000,117000,83000,91000,58000
Mar,138000,118000,115000,89000,94000,70000
Apr,134000,120000,111000,91000,90000,72000
May,140000,118000,116000,90000,87000,69000
Jun,138000,118000,116000,91000,83000,65000
Jul,119000,108000,108000,85000,79000,61000
Aug,112000,104000,101000,80000,76000,60000
Sep,103000,97000,92000,74000,72000,57000
Oct,101000,93000,87000,71000,70000,57000
Nov,98000,87000,84000,67000,67000,56000
Dec,78000,76000,75000,64000,64000,58000
Jan-23,87000,104000,74000,82000,67000,67000
Feb,85000,102000,72000,79000,65000,67000
Mar,80000,97000,70000,74000,62000,64000
Apr,76000,90000,68000,71000,58000,61000
May,73000,85000,64000,68000,56000,59000
Jun,71000,80000,62000,64000,54000,56000
Jul,72000,78000,62000,62000,52000,53000
Aug,72000,77000,63000,62000,50000,51000
Sep,69000,74000,62000,60000,48000,48000
Oct,67000,71000,60000,58000,46000,45000
Nov,65000,67000,57000,54000,44000,41000
Dec,68000,68000,47000,47000,39000,35000
