Month,4YO,5YO,3-5YO Avg.
Jan-18,70000,55000,68000
Feb,65000,47000,63000
Mar,64000,48000,65000
Apr,65000,49000,66000
May,65000,49000,66000
Jun,65000,49000,66000
Jul,65000,50000,66000
Aug,63000,51000,66000
Sep,62000,51000,65000
Oct,62000,50000,64000
Nov,62000,49000,63000
Dec,61000,52000,63000
Jan-19,78000,59000,72000
Feb,70000,58000,70000
Mar,69000,57000,70000
Apr,69000,56000,69000
May,68000,55000,68000
Jun,67000,54000,67000
Jul,66000,52000,66000
Aug,65000,50000,65000
Sep,63000,49000,63000
Oct,62000,47000,61000
Nov,60000,46000,59000
Dec,58000,42000,58000
Jan-20,68000,53000,64000
Feb,65000,51000,60000
Mar,64000,49000,58000
Apr,61000,38000,55000
May,59000,38000,54000
Jun,56000,38000,53000
Jul,55000,39000,52000
Aug,53000,40000,52000
Sep,52000,40000,53000
Oct,52000,40000,54000
Nov,51000,40000,54000
Dec,50000,41000,55000
