Month,4YO Slpr,4YO Dycb,5YO Slpr,5YO Dycb,6YO Slpr,6YO Dycb
Jan-22,122000,100000,104000,107000,76000,54000
Feb,134000,104000,115000,117000,83000,55000
Mar,139000,116000,117000,119000,88000,63000
Apr,138000,119000,116000,117000,92000,70000
May,134000,116000,114000,107000,93000,66000
Jun,122000,113000,113000,105000,86000,65000
Jul,114000,107000,104000,95000,82000,62000
Aug,110000,104000,99000,95000,80000,65000
Sep,107000,102000,98000,90000,75000,64000
Oct,102000,96000,93000,87000,74000,60000
Nov,101000,92000,88000,79000,74000,58000
Dec,90000,87000,79000,75000,70000,55000
Jan-23,88000,83000,75000,70000,69000,50000
Feb,91000,94000,72000,77000,60000,61000
Mar,86000,88000,66000,72000,57000,60000
Apr,86000,85000,61000,65000,54000,55000
May,85000,84000,59000,62000,52000,52000
Jun,81000,86000,56000,58000,49000,50000
Jul,79000,85000,54000,57000,48000,47000
Aug,75000,85000,53000,54000,46000,45000
Sep,73000,83000,50000,52000,44000,43000
Oct,71000,79000,48000,51000,44000,41000
Nov,70000,76000,47000,49000,41000,39000
Dec,68000,73000,44000,47000,37000,35000
Jan-24,64000,65000,41000,43000,35000,35000
Feb,76000,94000,56000,61000,44000,48000
Mar,72000,87000,52000,54000,46000,42000
Apr,75000,97000,54000,63000,43000,51000
