Month,4YO,5YO,3-5YO Avg.
Jan-18,68000,55000,83000
Mar,65000,47000,80000
May,64000,49000,85000
Jul,66000,51000,80000
Sep,65000,50000,80000
Nov,62000,51000,79000
Jan-19,72000,60000,95000
Mar,70000,58000,90000
May,71000,59000,93000
Jul,69000,55000,88000
Sep,67000,48000,84000
Nov,63000,45000,80000
Jan-20,65000,43000,89000
Mar,60000,40000,85000
May,55000,44000,85000
Jul,52000,41000,78000
Sep,53000,38000,72000
Nov,53000,39000,72000
Jan-21,72000,50000,92000
Mar,75000,53000,90000
May,80000,58000,93000
Jul,83000,65000,100000
Sep,86000,72000,102000
Nov,98000,78000,122000
