Month,4YO,5YO,3-5YO Avg.
Jan-16,71000,57000,68000
Mar,67000,46000,65000
May,65000,44000,63000
Jul,64000,40000,62000
Sep,59000,40000,58000
Nov,56000,42000,55000
Jan-17,68000,53000,66000
Mar,65000,45000,62000
May,61000,46000,59000
Jul,59000,44000,57000
Sep,54000,41000,53000
Nov,53000,39000,52000
Jan-18,66000,54000,65000
Mar,64000,47000,62000
May,65000,49000,64000
Jul,66000,50000,65000
Sep,65000,51000,64000
Nov,62000,50000,62000
Jan-19,72000,56000,72000
Mar,72000,58000,71000
May,70000,58000,70000
Jul,69000,57000,70000
Sep,67000,55000,67000
Nov,68000,52000,67000
Jan-20,64000,44000,62000
Mar,63000,42000,61000
