Month,3YO,4YO,5YO
Jan-19,94000,78000,62000
Mar,84000,70000,59000
May,83000,67000,56000
Jul,80000,64000,52000
Sep,83000,63000,49000
Nov,86000,63000,46000
Jan-20,90000,64000,42000
Mar,84000,63000,48000
May,75000,58000,43000
Jul,72000,53000,39000
Sep,72000,51000,38000
Nov,74000,51000,40000
Jan-21,91000,63000,49000
Mar,93000,64000,44000
May,91000,67000,45000
Jul,95000,72000,50000
Sep,101000,79000,63000
Nov,105000,89000,71000
Jan-22,119000,97000,76000
Mar,142000,121000,80000
May,168000,142000,96000
Jul,156000,135000,99000
Sep,140000,122000,91000
Nov,133000,114000,85000
Jan-23,133000,113000,79000
Mar,122000,102000,71000
May,115000,93000,66000
Jul,115000,85000,60000
Sep,109000,81000,59000
Nov,99000,76000,54000
Jan-24,91000,65000,40000
Mar,118000,76000,56000
