Month,4YO,5YO,3-5YO Avg.
Jan-18,66000,48000,67000
Feb,65000,48000,66000
Mar,66000,51000,65000
Apr,66000,50000,65000
May,66000,50000,65000
Jun,66000,50000,64000
Jul,67000,50000,64000
Aug,66000,51000,64000
Sep,65000,50000,64000
Oct,63000,49000,63000
Nov,62000,50000,62000
Dec,62000,49000,63000
Jan-19,68000,61000,78000
Feb,70000,57000,94000
Mar,72000,56000,90000
Apr,72000,55000,86000
May,72000,53000,83000
Jun,72000,50000,82000
Jul,71000,49000,82000
Aug,68000,48000,81000
Sep,66000,46000,78000
Oct,63000,46000,74000
Nov,61000,45000,72000
Dec,58000,42000,66000
Jan-20,66000,42000,69000
Feb,63000,42000,66000
Mar,63000,44000,63000
Apr,58000,42000,57000
May,55000,38000,54000
Jun,53000,37000,53000
Jul,52000,38000,54000
Aug,53000,39000,54000
Sep,54000,39000,55000
Oct,55000,39000,55000
Nov,54000,40000,53000
Dec,52000,40000,55000
Jan-21,52000,52000,73000
Feb,56000,56000,71000
