Month,3YO,4YO,5YO
Jan-19,94000,78000,60000
Mar,85000,70000,58000
May,82000,65000,54000
Jul,78000,62000,48000
Sep,77000,59000,46000
Nov,73000,64000,42000
Jan-20,71000,65000,41000
Mar,74000,63000,37000
May,72000,52000,38000
Jul,78000,51000,39000
Sep,93000,62000,51000
Nov,100000,73000,53000
Jan-21,93000,75000,53000
Mar,92000,76000,58000
May,101000,84000,69000
Jul,105000,91000,74000
Sep,109000,96000,77000
Nov,118000,100000,78000
Jan-22,132000,120000,94000
Mar,150000,138000,113000
May,166000,142000,115000
Jul,153000,138000,112000
Sep,145000,128000,110000
Nov,130000,113000,101000
Jan-23,123000,105000,84000
Mar,113000,100000,78000
May,94000,81000,66000
Jul,83000,77000,65000
Sep,79000,71000,58000
Nov,75000,69000,57000
Jan-24,72000,69000,50000
Mar,72000,70000,49000
May,120000,78000,62000
Jul,96000,63000,52000
