Month,4YO,5YO,3-5YO Avg.
Jan-18,67000,53000,68000
Feb,65000,47000,65000
Mar,66000,46000,65000
Apr,64000,48000,65000
May,64000,48000,65000
Jun,64000,49000,64000
Jul,64000,49000,64000
Aug,63000,50000,64000
Sep,63000,50000,63000
Oct,63000,52000,63000
Nov,63000,51000,63000
Dec,62000,51000,62000
Jan-19,78000,62000,73000
Feb,73000,59000,72000
Mar,73000,58000,72000
Apr,72000,57000,72000
May,72000,57000,72000
Jun,71000,56000,72000
Jul,70000,55000,72000
Aug,69000,53000,72000
Sep,67000,50000,71000
Oct,66000,48000,69000
Nov,65000,46000,67000
Dec,63000,43000,65000
Jan-20,68000,50000,67000
Feb,66000,48000,67000
Mar,62000,43000,66000
Apr,57000,43000,63000
May,53000,38000,60000
Jun,54000,38000,57000
Jul,55000,39000,56000
Aug,55000,38000,56000
Sep,53000,38000,55000
Oct,51000,40000,55000
Nov,50000,40000,55000
Dec,50000,40000,55000
Jan-21,50000,41000,54000
