Month,3YO,4YO,5YO
Jan-19,95000,78000,60000
Mar,85000,70000,58000
May,80000,65000,52000
Jul,85000,60000,50000
Sep,80000,58000,48000
Nov,80000,55000,45000
Jan-20,90000,65000,53000
Mar,85000,58000,43000
May,85000,53000,40000
Jul,75000,52000,38000
Sep,72000,52000,40000
Nov,72000,52000,40000
Jan-21,92000,72000,50000
Mar,90000,70000,50000
May,100000,75000,58000
Jul,102000,80000,65000
Sep,105000,85000,70000
Nov,110000,90000,75000
Jan-22,120000,100000,77000
Mar,140000,130000,105000
May,165000,140000,115000
Jul,160000,135000,112000
Sep,145000,125000,105000
Nov,140000,118000,100000
Jan-23,135000,105000,85000
Mar,130000,103000,83000
May,112000,95000,75000
Jul,112000,85000,68000
Sep,105000,78000,62000
Nov,90000,70000,58000
