Month,3YO,4YO,5YO,6YO
Jan-19,62000,50000,42000,32000
Mar,58000,45000,38000,30000
May,52000,40000,35000,27000
Jul,50000,35000,30000,24000
Sep,65000,42000,38000,30000
Nov,55000,38000,35000,27000
Jan-20,50000,36000,30000,25000
Mar,45000,32000,28000,23000
May,43000,30000,27000,22000
Jul,52000,33000,29000,23000
Sep,62000,40000,35000,28000
Nov,54000,37000,33000,26000
Jan-21,60000,42000,35000,28000
Mar,85000,55000,43000,32000
May,95000,65000,50000,37000
Jul,110000,75000,58000,42000
Sep,120000,90000,70000,50000
Nov,130000,105000,80000,60000
Jan-22,165000,140000,100000,78000
Mar,155000,130000,95000,75000
May,135000,110000,85000,65000
Jul,120000,90000,75000,55000
Sep,100000,80000,65000,50000
Nov,95000,75000,60000,45000
Jan-23,125000,85000,65000,50000
Mar,100000,75000,55000,40000
May,95000,70000,53000,35000
Jul,90000,65000,50000,33000
Sep,95000,65000,50000,32000
Nov,85000,60000,48000,30000
Jan-24,70000,55000,42000,28000
Mar,65000,50000,40000,30000
May,58000,47000,38000,33000
Jul,55000,45000,40000,38000
