Month,3YO,4YO,5YO
Jan-19,94000,78000,62000
Mar,82000,68000,59000
May,94000,70000,55000
Jul,88000,67000,54000
Sep,82000,63000,50000
Nov,73000,59000,46000
Jan-20,89000,64000,47000
Mar,84000,63000,44000
May,82000,61000,41000
Jul,74000,59000,38000
Sep,72000,63000,40000
Nov,71000,71000,50000
Jan-21,91000,72000,51000
Mar,98000,75000,56000
May,102000,81000,62000
Jul,104000,86000,67000
Sep,107000,91000,72000
Nov,111000,94000,76000
Jan-22,120000,119000,100000
Mar,152000,130000,112000
May,166000,140000,116000
Jul,154000,139000,114000
Sep,144000,127000,108000
Nov,137000,115000,98000
Jan-23,130000,103000,84000
Mar,112000,86000,70000
May,110000,77000,62000
