Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,73000
Feb,67000,56000,79000
Mar,66000,52000,82000
Apr,63000,44000,79000
May,62000,44000,79000
Jun,61000,47000,78000
Jul,61000,48000,76000
Aug,60000,48000,74000
Sep,59000,48000,72000
Oct,58000,47000,70000
Nov,57000,48000,68000
Dec,56000,47000,67000
Jan-17,68000,50000,68000
Feb,67000,48000,78000
Mar,65000,46000,80000
Apr,64000,45000,77000
May,63000,46000,75000
Jun,61000,42000,73000
Jul,58000,41000,71000
Aug,56000,41000,70000
Sep,55000,40000,69000
Oct,54000,41000,69000
Nov,53000,41000,69000
Dec,52000,40000,69000
Jan-18,65000,47000,71000
Feb,65000,46000,84000
Mar,64000,47000,88000
Apr,63000,46000,82000
May,64000,47000,78000
Jun,64000,46000,75000
Jul,65000,47000,74000
Aug,65000,50000,75000
Sep,64000,51000,76000
Oct,64000,51000,76000
Nov,63000,50000,75000
Dec,62000,53000,73000
Jan-19,78000,62000,94000
