Month,3YO,4YO,5YO
Jan-19,95000,78000,62000
Mar-19,88000,70000,60000
May-19,98000,78000,62000
Jul-19,94000,74000,58000
Sep-19,94000,72000,58000
Nov-19,85000,68000,55000
Jan-20,68000,58000,50000
Mar-20,70000,58000,51000
May-20,65000,56000,50000
Jul-20,66000,55000,50000
Sep-20,68000,55000,52000
Nov-20,68000,55000,50000
Jan-21,95000,70000,55000
Mar-21,90000,69000,56000
May-21,95000,73000,58000
Jul-21,102000,78000,62000
Sep-21,108000,82000,64000
Nov-21,112000,88000,66000
Jan-22,142000,98000,70000
Mar-22,162000,122000,100000
May-22,168000,138000,122000
Jul-22,154000,130000,120000
Sep-22,140000,120000,114000
Nov-22,124000,110000,108000
Jan-23,95000,90000,90000
Mar-23,90000,80000,80000
May-23,90000,80000,82000
Jul-23,92000,80000,82000
Sep-23,96000,82000,85000
Nov-23,98000,86000,90000
Jan-24,122000,142000,114000
Mar-24,112000,132000,112000
