Date,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,73000
Mar-16,68000,52000,78000
May-16,65000,45000,75000
Jul-16,64000,45000,72000
Sep-16,63000,47000,77000
Nov-16,60000,42000,78000
Jan-17,58000,40000,67000
Mar-17,62000,44000,68000
May-17,60000,48000,80000
Jul-17,58000,45000,80000
Sep-17,55000,43000,70000
Nov-17,51000,39000,67000
Jan-18,53000,40000,65000
Mar-18,58000,47000,85000
May-18,64000,51000,81000
Jul-18,65000,52000,84000
Sep-18,64000,51000,81000
Nov-18,63000,47000,70000
Jan-19,61000,47000,72000
Mar-19,72000,54000,94000
May-19,70000,58000,89000
Jul-19,69000,56000,84000
Sep-19,65000,50000,82000
Nov-19,59000,45000,76000
Jan-20,58000,42000,74000
Mar-20,66000,48000,88000
May-20,52000,42000,85000
