Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,74000
Feb,67000,56000,80000
Mar,65000,51000,82000
Apr,63000,49000,79000
May,62000,47000,77000
Jun,61000,44000,74000
Jul,60000,42000,72000
Aug,59000,47000,70000
Sep,58000,49000,68000
Oct,56000,51000,67000
Nov,55000,52000,67000
Dec,54000,50000,66000
Jan-17,67000,53000,79000
Feb,67000,52000,78000
Mar,66000,50000,82000
Apr,65000,48000,83000
May,64000,46000,80000
Jun,63000,45000,76000
Jul,62000,44000,74000
Aug,58000,45000,72000
Sep,56000,48000,70000
Oct,55000,51000,70000
Nov,54000,53000,69000
Dec,53000,51000,68000
Jan-18,67000,40000,72000
Feb,67000,47000,92000
Mar,65000,47000,87000
Apr,64000,47000,83000
May,63000,47000,80000
Jun,62000,48000,82000
Jul,61000,49000,83000
Aug,62000,50000,81000
Sep,62000,50000,79000
Oct,62000,52000,76000
Nov,62000,52000,73000
Dec,63000,50000,71000
Jan-19,77000,60000,93000
Feb,73000,59000,90000
