Month,4YO Slpr,4YO Dycb,5YO Slpr,5YO Dycb,6YO Slpr,6YO Dycb
Jan-22,122000,101000,107000,77000,77000,54000
Feb,132000,101000,115000,80000,86000,59000
Mar,138000,117000,118000,92000,90000,70000
Apr,139000,120000,114000,92000,92000,71000
May,141000,116000,118000,95000,96000,68000
Jun,127000,112000,108000,94000,94000,66000
Jul,116000,107000,102000,88000,88000,64000
Aug,112000,102000,98000,78000,85000,63000
Sep,107000,99000,92000,74000,83000,63000
Oct,103000,94000,89000,73000,79000,62000
Nov,100000,92000,77000,67000,76000,61000
Dec,96000,84000,74000,60000,73000,49000
Jan-23,105000,103000,88000,67000,67000,66000
Feb,90000,91000,79000,67000,67000,64000
Mar,86000,86000,73000,69000,60000,57000
Apr,83000,86000,69000,65000,56000,54000
May,86000,87000,67000,62000,52000,51000
Jun,84000,84000,66000,58000,51000,47000
Jul,73000,85000,58000,56000,47000,46000
