Month,4YO Slpr,4YO Dycb,5YO Slpr,5YO Dycb,6YO Slpr,6YO Dycb
Jan-22,122000,100000,107000,76000,72000,53000
Feb,132000,100000,115000,80000,82000,58000
Mar,137000,115000,118000,89000,88000,70000
Apr,138000,118000,116000,94000,91000,70000
May,138000,120000,116000,94000,91000,68000
Jun,124000,118000,109000,96000,91000,65000
Jul,115000,105000,101000,90000,88000,65000
Aug,109000,98000,95000,85000,86000,63000
Sep,104000,95000,90000,80000,82000,61000
Oct,102000,93000,87000,76000,78000,60000
Nov,99000,92000,83000,72000,75000,59000
Dec,90000,89000,78000,66000,70000,50000
Jan-23,107000,92000,85000,75000,72000,67000
Feb,104000,88000,80000,72000,68000,64000
Mar,95000,87000,77000,69000,66000,60000
Apr,90000,86000,74000,67000,63000,58000
May,87000,83000,70000,64000,58000,53000
Jun,79000,88000,67000,63000,56000,51000
Jul,73000,82000,66000,60000,55000,51000
Aug,68000,79000,63000,55000,54000,49000
Sep,67000,77000,62000,53000,53000,47000
