Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,72000
Mar,68000,52000,78000
May,65000,48000,79000
Jul,62000,44000,75000
Sep,60000,40000,70000
Nov,57000,39000,69000
Jan-17,68000,47000,78000
Mar,65000,45000,79000
May,62000,43000,78000
Jul,59000,43000,73000
Sep,56000,42000,70000
Nov,51000,39000,69000
Jan-18,64000,48000,71000
Mar,65000,47000,84000
May,66000,48000,80000
Jul,65000,50000,77000
Sep,63000,52000,75000
Nov,63000,52000,73000
Jan-19,72000,53000,74000
Mar,73000,60000,76000
May,70000,58000,74000
Jul,65000,58000,72000
Sep,62000,55000,70000
Nov,59000,46000,64000
