Month,4YO,5YO,3-5YO Avg.
Jan-16,69500,57000,73000
Mar,67000,51000,79000
May,63000,44000,77000
Jul,61000,49000,73000
Sep,60500,43000,69000
Nov,61500,45000,68000
Jan-17,67000,47000,66500
Mar,66500,45000,79000
May,62500,51000,82000
Jul,58000,45000,79000
Sep,56000,43000,73000
Nov,57000,40000,69000
Jan-18,66000,40000,91000
Mar,62000,44000,81000
May,60000,45000,85000
Jul,62000,52000,81000
Sep,63000,51000,76000
Nov,63000,49000,73000
Jan-19,78000,52000,97000
Mar,72000,60000,89000
May,72000,58000,94000
Jul,70000,61000,86000
Sep,69000,57000,80000
