Month,3YO,4YO,5YO
Jan-19,93000,78000,61000
Mar,82000,69000,58000
May,94000,69000,55000
Jul,85000,65000,52000
Sep,83000,61000,47000
Nov,72000,57000,44000
Jan-20,89000,65000,51000
Mar,84000,63000,52000
May,76000,57000,46000
Jul,71000,53000,40000
Sep,72000,51000,38000
Nov,71000,51000,38000
Jan-21,93000,71000,50000
Mar,94000,74000,54000
May,99000,79000,58000
Jul,103000,85000,64000
Sep,113000,93000,71000
Nov,118000,97000,76000
Jan-22,120000,99000,77000
Mar,144000,135000,113000
May,167000,142000,115000
Jul,151000,135000,106000
Sep,145000,122000,97000
Nov,133000,109000,84000
Jan-23,128000,97000,82000
