Month,4YO Slpr,4YO Dycb,5YO Slpr,5YO Dycb,6YO Slpr,6YO Dycb
Jan-22,122000,100000,108000,76000,75000,53000
Feb,134000,108000,116000,80000,82000,63000
Mar,138000,117000,118000,93000,92000,65000
Apr,140000,118000,112000,92000,94000,68000
May,140000,119000,109000,95000,93000,66000
Jun,127000,112000,106000,90000,90000,65000
Jul,115000,104000,98000,83000,87000,63000
Aug,109000,99000,93000,77000,82000,62000
Sep,105000,95000,90000,75000,79000,61000
Oct,102000,92000,88000,72000,76000,59000
Nov,97000,87000,83000,68000,72000,57000
Dec,88000,80000,76000,60000,65000,52000
Jan-23,83000,66000,67000,57000,64000,52000
Feb,95000,87000,76000,69000,70000,61000
Mar,90000,84000,70000,63000,65000,53000
Apr,88000,80000,65000,59000,60000,49000
May,83000,76000,61000,57000,56000,46000
Jun,79000,72000,58000,54000,52000,43000
Jul,76000,69000,56000,52000,50000,41000
Aug,74000,66000,54000,50000,48000,39000
Sep,71000,63000,52000,48000,46000,37000
Oct,68000,61000,51000,46000,45000,36000
Nov,66000,59000,49000,44000,43000,35000
Dec,60000,54000,46000,39000,39000,33000
Jan-24,72000,95000,55000,58000,47000,45000
Feb,77000,89000,61000,62000,50000,44000
Mar,73000,83000,56000,58000,46000,43000
Apr,72000,80000,54000,55000,43000,41000
May,72000,79000,53000,53000,42000,40000
Jun,73000,78000,52000,52000,41000,39000
