Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,56000,70000
Mar,67000,48000,67000
May,60000,44000,63000
Jul,60000,51000,62000
Sep,58000,47000,61000
Nov,54000,40000,60000
Jan-17,67000,45000,67000
Mar,62000,45000,64000
May,61000,51000,62000
Jul,59000,47000,58000
Sep,55000,42000,54000
Nov,54000,40000,54000
Jan-18,65000,48000,70000
Mar,63000,47000,65000
May,65000,51000,65000
Jul,63000,48000,63000
Sep,62000,48000,62000
Nov,62000,52000,62000
Jan-19,72000,52000,78000
Mar,70000,50000,75000
May,72000,51000,72000
Jul,70000,51000,71000
Sep,70000,47000,68000
Nov,60000,45000,61000
Jan-20,58000,50000,72000
