Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,73000
Mar,66000,48000,78000
May,63000,45000,82000
Jul,60000,51000,82000
Sep,59000,44000,79000
Nov,54000,41000,78000
Jan-17,68000,45000,79000
Mar,66000,45000,72000
May,62000,42000,70000
Jul,60000,42000,68000
Sep,57000,48000,65000
Nov,54000,53000,64000
Jan-18,65000,48000,69000
Mar,65000,48000,83000
May,63000,49000,86000
Jul,64000,48000,84000
Sep,63000,51000,81000
Nov,62000,51000,79000
Jan-19,72000,52000,81000
Mar,70000,52000,95000
May,70000,51000,90000
Jul,69000,48000,83000
Sep,68000,46000,82000
Nov,67000,44000,83000
Jan-20,67000,46000,90000
