Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,78000,61000,77000
Mar,84000,70000,60000,73000
May,97000,72000,55000,73000
Jul,93000,68000,54000,71000
Sep,87000,65000,49000,67000
Nov,84000,60000,46000,63000
Jan-20,82000,58000,44000,60000
Mar,90000,70000,51000,67000
May,86000,66000,44000,63000
Jul,75000,56000,40000,56000
Sep,73000,52000,38000,53000
Nov,73000,51000,38000,53000
Jan-21,72000,51000,39000,52000
Mar,92000,72000,50000,71000
May,98000,75000,52000,73000
Jul,101000,78000,55000,76000
Sep,104000,82000,62000,81000
Nov,107000,87000,67000,87000
Jan-22,110000,90000,72000,90000
Mar,143000,126000,110000,128000
May,168000,138000,114000,141000
Jul,152000,122000,116000,135000
Sep,145000,115000,105000,125000
