Month,3YO,4YO,5YO
Jan-19,93000,77000,67000
Mar,87000,73000,63000
May,97000,74000,63000
Jul,97000,70000,59000
Sep,89000,65000,55000
Nov,87000,62000,51000
Jan-20,86000,62000,50000
Mar,84000,60000,48000
May,82000,57000,45000
Jul,87000,57000,45000
Sep,90000,56000,43000
Nov,92000,55000,43000
Jan-21,91000,54000,42000
Mar,95000,55000,43000
May,98000,60000,47000
Jul,99000,65000,50000
Sep,105000,76000,59000
Nov,110000,84000,68000
Jan-22,120000,94000,78000
Mar,130000,109000,90000
May,166000,135000,120000
Jul,174000,143000,129000
Sep,159000,134000,122000
Nov,142000,120000,110000
Jan-23,129000,105000,96000
Mar,118000,96000,87000
