Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,93000,78000,62000,77000
Mar-19,86000,71000,61000,73000
May-19,96000,70000,57000,73000
Jul-19,93000,68000,53000,70000
Sep-19,83000,65000,49000,66000
Nov-19,79000,61000,46000,63000
Jan-20,72000,58000,44000,59000
Mar-20,89000,66000,51000,65000
May-20,85000,64000,47000,63000
Jul-20,73000,57000,40000,57000
Sep-20,72000,55000,39000,55000
Nov-20,72000,53000,38000,54000
Jan-21,73000,54000,40000,54000
Mar-21,93000,72000,50000,71000
May-21,101000,77000,54000,76000
Jul-21,104000,80000,60000,79000
Sep-21,107000,83000,67000,83000
Nov-21,110000,88000,71000,86000
Jan-22,120000,97000,77000,96000
Mar-22,128000,138000,110000,138000
May-22,167000,142000,115000,140000
Jul-22,156000,122000,113000,122000
Sep-22,135000,110000,90000,110000
