Month,3YO,4YO,5YO
Jan-19,94000,79000,61000
Mar,84000,69000,59000
May,87000,63000,53000
Jul,81000,62000,51000
Sep,79000,60000,47000
Nov,78000,63000,51000
Jan-20,75000,64000,53000
Mar,72000,60000,48000
May,74000,51000,39000
Jul,72000,51000,37000
Sep,72000,53000,40000
Nov,91000,73000,52000
Jan-21,91000,73000,52000
Mar,94000,75000,54000
May,98000,80000,61000
Jul,102000,85000,68000
Sep,105000,90000,74000
Nov,111000,95000,81000
Jan-22,111000,95000,81000
Mar,140000,120000,110000
May,167000,130000,115000
Jul,148000,127000,116000
Sep,140000,120000,108000
Nov,120000,110000,97000
Jan-23,117000,108000,96000
Mar,99000,81000,68000
May,92000,77000,63000
Jul,90000,70000,58000
Sep,89000,68000,55000
Nov,90000,65000,51000
Jan-24,120000,80000,60000
Mar,95000,73000,52000
May,94000,73000,50000
