Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,78000,62000,78000
Feb,90000,73000,60000,76000
Mar,92000,72000,58000,75000
Apr,94000,73000,55000,74000
May,92000,72000,53000,73000
Jun,89000,70000,51000,71000
Jul,86000,68000,48000,69000
Aug,83000,66000,47000,67000
Sep,80000,63000,45000,65000
Oct,77000,61000,44000,63000
Nov,75000,59000,42000,61000
Dec,74000,58000,42000,59000
Jan-20,89000,65000,44000,66000
Feb,88000,64000,53000,64000
Mar,86000,63000,52000,63000
Apr,79000,61000,50000,61000
May,76000,59000,48000,59000
Jun,74000,57000,48000,58000
Jul,73000,56000,49000,56000
Aug,72000,55000,50000,56000
Sep,72000,55000,50000,56000
Oct,72000,54000,50000,55000
Nov,72000,53000,49000,55000
Dec,73000,52000,51000,54000
Jan-21,94000,74000,51000,72000
Feb,90000,75000,56000,73000
Mar,89000,75000,61000,74000
Apr,90000,77000,63000,75000
May,95000,79000,65000,77000
Jun,97000,81000,66000,79000
Jul,98000,83000,67000,81000
Aug,99000,85000,69000,83000
Sep,102000,88000,71000,86000
Oct,107000,91000,74000,89000
Nov,112000,95000,78000,94000
Dec,118000,102000,84000,101000
Jan-22,141000,130000,110000,129000
Feb,145000,138000,115000,136000
Mar,163000,140000,116000,139000
