Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,77000,62000,77000
Mar,88000,70000,58000,74000
May,95000,69000,56000,73000
Jul,89000,68000,52000,71000
Sep,85000,64000,48000,67000
Nov,82000,62000,45000,65000
Jan-20,89000,65000,52000,68000
Mar,83000,62000,46000,65000
May,77000,56000,41000,59000
Jul,72000,52000,39000,55000
Sep,71000,50000,39000,53000
Nov,73000,51000,40000,54000
Jan-21,93000,65000,51000,69000
Mar,97000,69000,54000,72000
May,100000,73000,55000,75000
Jul,103000,78000,61000,80000
Sep,106000,82000,66000,85000
Nov,117000,92000,75000,95000
Jan-22,120000,95000,76000,97000
Mar,155000,138000,113000,138000
May,167000,142000,114000,141000
Jul,158000,134000,107000,133000
Sep,145000,124000,103000,123000
Nov,135000,115000,97000,114000
Jan-23,130000,105000,83000,96000
