Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,78000,62000,77000
Mar,84000,70000,58000,73000
May,95000,68000,54000,71000
Jul,88000,65000,51000,68000
Sep,81000,60000,48000,64000
Nov,79000,58000,46000,62000
Jan-20,89000,68000,51000,67000
Mar,84000,64000,45000,64000
May,75000,55000,40000,59000
Jul,73000,53000,38000,58000
Sep,73000,53000,37000,57000
Nov,72000,52000,38000,56000
Jan-21,92000,72000,50000,71000
Mar,101000,73000,51000,73000
May,103000,77000,57000,77000
Jul,105000,82000,62000,82000
Sep,116000,92000,71000,93000
Nov,120000,98000,76000,98000
Jan-22,121000,101000,78000,101000
Mar,165000,140000,111000,138000
May,155000,143000,116000,141000
Jul,137000,123000,101000,121000
Sep,121000,113000,93000,112000
Nov,111000,98000,75000,97000
