Month,4YO,5YO,3-5YO Avg.
Jan-18,65000,47000,68000
Mar,64000,49000,76000
May,63000,50000,82000
Jul,63000,52000,81000
Sep,62000,52000,78000
Nov,62000,48000,79000
Jan-19,68000,58000,95000
Mar,70000,57000,83000
May,70000,56000,93000
Jul,68000,52000,85000
Sep,65000,48000,83000
Nov,60000,45000,75000
Jan-20,63000,42000,88000
Mar,64000,45000,84000
May,62000,42000,79000
Jul,55000,38000,73000
Sep,52000,38000,72000
Nov,52000,40000,72000
Jan-21,50000,39000,73000
Mar,71000,51000,92000
May,70000,50000,95000
Jul,70000,55000,95000
Sep,74000,58000,98000
Nov,77000,60000,100000
