Month,3YO,4YO,5YO
Jan-19,94000,80000,62000
Mar,82000,70000,60000
May,85000,70000,55000
Jul,95000,68000,52000
Sep,85000,65000,50000
Nov,82000,64000,48000
Jan-20,88000,64000,52000
Mar,80000,58000,45000
May,75000,55000,40000
Jul,72000,50000,37000
Sep,70000,52000,38000
Nov,72000,52000,40000
Jan-21,88000,62000,50000
Mar,90000,70000,54000
May,102000,75000,60000
Jul,105000,82000,62000
Sep,110000,88000,68000
Nov,118000,98000,75000
Jan-22,120000,120000,80000
Mar,150000,140000,105000
May,168000,143000,100000
Jul,150000,135000,95000
Sep,140000,120000,85000
Nov,130000,110000,80000
Jan-23,133000,100000,75000
Mar,120000,95000,70000
May,115000,88000,65000
Jul,115000,85000,62000
Sep,105000,78000,60000
Nov,95000,70000,58000
Jan-24,103000,77000,62000
