Month,4YO,5YO,3-5YO Avg.
Jan-16,72500,57000,70000
Feb,68000,55000,66000
Mar,65000,50000,64000
Apr,64000,45000,63000
May,63000,43000,62000
Jun,61000,48000,60000
Jul,60000,50000,59500
Aug,59000,52000,59000
Sep,57000,47000,58000
Oct,56000,44000,56500
Nov,55000,41000,55000
Dec,54000,40000,54000
Jan-17,67000,45000,78000
Feb,66000,45000,78000
Mar,63000,48000,81000
Apr,61000,50000,82000
May,61000,48000,80000
Jun,59000,45000,78000
Jul,57000,43000,74000
Aug,54000,41000,71000
Sep,52000,39000,70000
Oct,51000,40000,69000
Nov,51000,41000,67000
Dec,53000,41000,66000
Jan-18,67000,47000,91000
Feb,64000,47000,84000
Mar,63000,48000,82000
Apr,65000,50000,84000
May,66000,50000,84000
Jun,65000,51000,82000
Jul,64000,51000,80000
Aug,63000,50000,79000
Sep,64000,50000,82000
Oct (est.),63000,50000,79000
