Month,4YO,5YO,3-5YO Avg.
Jan-19,78000,61000,95000
Feb-19,76000,60000,93000
Mar-19,74000,59000,91000
Apr-19,72000,57000,86000
May-19,71000,56000,85000
Jun-19,70000,55000,85000
Jul-19,68000,53000,83000
Aug-19,66000,51000,81000
Sep-19,64000,49000,79000
Oct-19,63000,47000,77000
Nov-19,61000,46000,75000
Dec-19,59000,45000,73000
Jan-20,67000,43000,90000
Feb-20,65000,42000,78000
Mar-20,62000,41000,75000
Apr-20,59000,40000,72000
May-20,57000,38000,73000
Jun-20,55000,38000,77000
Jul-20,54000,39000,76000
Aug-20,53000,40000,73000
Sep-20,52000,40000,72000
Oct-20,53000,40000,72000
Nov-20,54000,40000,72000
Dec-20,55000,41000,73000
Jan-21,73000,50000,93000
Feb-21,72000,51000,77000
Mar-21,72000,52000,75000
Apr-21,73000,53000,77000
May-21,75000,55000,81000
Jun-21,78000,60000,86000
Jul-21,81000,64000,88000
Aug-21,84000,69000,92000
Sep-21,86000,72000,95000
Oct-21,89000,76000,98000
Nov-21,94000,82000,105000
Dec-21,98000,89000,110000
Jan-22,122000,110000,142000
