Month,4YO,5YO,3-5YO Avg.
Jan-15,78000,69000,93000
Mar,72000,62000,83000
May,71000,60000,78000
Jul,69000,58000,77000
Sep,67000,57000,74000
Nov,61000,53000,71000
Jan-16,71000,56000,92000
Mar,68000,50000,79000
May,72000,49000,82000
Jul,72000,43000,78000
Sep,71000,43000,76000
Nov,67000,40000,67000
Jan-17,67000,52000,79000
Mar,62000,45000,77000
May,61000,44000,79000
Jul,58000,43000,73000
Sep,55000,40000,70000
Nov,50000,39000,66000
Jan-18,67000,53000,91000
Mar,65000,46000,84000
