Date,3YO,4YO,5YO
Jan-19,94000,78000,60000
Mar,84000,68000,58000
May,82000,64000,54000
Jul,83000,62000,50000
Sep,79000,60000,48000
Nov,78000,64000,50000
Jan-20,88000,65000,52000
Mar,83000,63000,50000
May,76000,57000,42000
Jul,72000,53000,38000
Sep,72000,52000,38000
Nov,72000,52000,38000
Jan-21,88000,70000,50000
Mar,92000,72000,52000
May,98000,75000,53000
Jul,102000,78000,55000
Sep,105000,82000,60000
Nov,110000,90000,70000
Jan-22,128000,120000,78000
Mar,145000,140000,105000
May,165000,142000,115000
Jul,152000,135000,105000
Sep,145000,125000,100000
Nov,138000,118000,94000
Jan-23,132000,108000,84000
Mar,113000,98000,75000
May,112000,88000,68000
Jul,110000,84000,64000
Sep,108000,80000,60000
Nov,95000,78000,55000
Jan-24,120000,78000,62000
