Month,4YO,5YO,3-5YO Avg.
Jan-16,71000,58000,73000
Mar,66000,55000,68000
May,60000,46000,66000
Jul,60000,45000,65000
Sep,58000,47000,64000
Nov,54000,40000,62000
Jan-17,68000,46000,67000
Mar,61000,46000,62000
May,61000,45000,62000
Jul,58000,47000,60000
Sep,56000,45000,58000
Nov,51000,40000,55000
Jan-18,65000,48000,67000
Mar,62000,47000,64000
May,59000,46000,63000
Jul,58000,51000,63000
Sep,57000,51000,63000
Nov,55000,52000,62000
Jan-19,71000,56000,72000
Mar,69000,58000,71000
May,69000,59000,70000
Jul,71000,60000,71000
Sep,70000,58000,69000
Nov,63000,53000,63000
Jan-20,65000,48000,67000
Mar,64000,43000,62000
May,54000,37000,56000
Jul,51000,40000,53000
