Month,3YO,4YO,5YO
Jan-19,95000,80000,60000
Mar,85000,70000,58000
May,95000,65000,52000
Jul,85000,62000,48000
Sep,80000,60000,45000
Nov,78000,60000,45000
Jan-20,90000,65000,50000
Mar,75000,60000,45000
May,70000,55000,40000
Jul,70000,50000,38000
Sep,72000,50000,38000
Nov,72000,50000,40000
Jan-21,92000,65000,48000
Mar,95000,70000,50000
May,100000,72000,53000
Jul,105000,75000,55000
Sep,110000,80000,60000
Nov,120000,90000,65000
Jan-22,130000,120000,110000
Mar,165000,140000,115000
May,155000,135000,115000
Jul,145000,125000,115000
Sep,135000,115000,105000
Nov,130000,110000,100000
Jan-23,120000,105000,95000
Mar,105000,90000,78000
May,95000,80000,65000
Jul,90000,75000,60000
Sep,90000,70000,58000
Nov,90000,68000,55000
Jan-24,120000,80000,60000
Mar,95000,75000,55000
May,95000,72000,53000
