Month,4YO,5YO,3-5YO Avg.
Jan-15,78000,69000,80000
Feb,72000,65000,83000
Mar,71000,63000,82000
Apr,70000,61000,79000
May,71000,60000,79000
Jun,71000,60000,79000
Jul,71000,59000,77000
Aug,72000,58000,76000
Sep,71000,57000,75000
Oct,69000,56000,74000
Nov,66000,55000,73000
Dec,62000,53000,72000
Jan-16,71000,58000,93000
Feb,70000,56000,77000
Mar,71000,49000,81000
Apr,71000,47000,82000
May,71000,48000,82000
Jun,70000,51000,80000
Jul,67000,49000,78000
Aug,63000,46000,74000
Sep,61000,44000,72000
Oct,60000,43000,71000
Nov,59000,42000,70000
Dec,58000,41000,69000
Jan-17,66000,44000,79000
Feb,64000,46000,78000
Mar,62000,45000,79000
Apr,62000,45000,79000
May,61000,44000,78000
Jun,61000,45000,77000
Jul,59000,44000,73000
Aug,57000,43000,71000
Sep,55000,42000,70000
Oct,53000,41000,70000
Nov,52000,40000,69000
Dec,50000,40000,68000
Jan-18,67000,50000,91000
Feb (est.),65000,50000,80000
