Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,73000
Feb,67000,53000,81000
Mar,65000,47000,82000
Apr,64000,44000,81000
May,63000,51000,79000
Jun,62000,45000,76000
Jul,61000,44000,75000
Aug,60000,43000,73000
Sep,59000,43000,71000
Oct,58000,43000,69000
Nov,56000,41000,67000
Dec,55000,40000,66000
Jan-17,67000,52000,78000
Feb,66000,47000,79000
Mar,63000,46000,81000
Apr,62000,50000,79000
May,61000,51000,77000
Jun,60000,47000,75000
Jul,58000,44000,73000
Aug,55000,43000,71000
Sep,53000,43000,69000
Oct,52000,40000,67000
Nov,51000,40000,66000
Dec,50000,40000,65000
Jan-18,71000,56000,92000
Feb,64000,47000,84000
Mar,64000,47000,81000
Apr,64000,48000,82000
May,64000,49000,84000
Jun,63000,49000,81000
Jul,64000,50000,78000
Aug (est.),64000,50000,79000
