Month,4YO,5YO,3-5YO Avg.
Jan-15,80000,70000,93000
Feb,75000,62000,83000
Mar,72000,64000,82000
Apr,71000,64000,80000
May,71000,63000,80000
Jun,72000,62000,78000
Jul,72000,61000,78000
Aug,71000,60000,79000
Sep,69000,58000,79000
Oct,67000,56000,78000
Nov,65000,54000,77000
Dec,63000,54000,76000
Jan-16,74000,58000,93000
Feb,72000,57000,82000
Mar,71000,54000,80000
Apr,67000,49000,79000
May,65000,47000,82000
Jun,64000,44000,80000
Jul,63000,43000,79000
Aug,62000,45000,78000
Sep,61000,47000,76000
Oct,59000,47000,75000
Nov,57000,44000,74000
Dec,56000,41000,72000
Jan-17,67000,45000,79000
Feb,67000,45000,79000
Mar,65000,44000,79000
Apr,63000,43000,82000
May,61000,42000,78000
Jun,60000,42000,75000
Jul,59000,43000,74000
Aug,58000,44000,72000
Sep,56000,42000,71000
Oct,54000,40000,70000
Nov,53000,39000,70000
Dec,54000,41000,70000
Jan-18 (est.),54000,45000,71000
