Month,4YO,5YO,3-5YO Avg.
Jan-18,64000,55000,77000
Mar,63000,47000,84000
May,66000,50000,81000
Jul,64000,49000,81000
Sep,63000,52000,84000
Nov,62000,51000,80000
Jan-19,78000,62000,95000
Mar,72000,58000,84000
May,73000,55000,93000
Jul,70000,53000,82000
Sep,65000,48000,79000
Nov,63000,45000,76000
Jan-20,64000,51000,89000
Mar,63000,48000,83000
May,53000,44000,76000
Jul,51000,38000,74000
Sep,52000,38000,73000
Nov,50000,39000,72000
Jan-21,72000,50000,93000
Mar,72000,55000,92000
May,78000,60000,99000
Jul,79000,65000,100000
Sep,87000,70000,103000
