Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,92000,78000,62000,78000
Feb,88000,73000,59000,75000
Mar,89000,72000,57000,74000
Apr,93000,71000,57000,73000
May,94000,70000,58000,73000
Jun,88000,68000,56000,71000
Jul,86000,66000,53000,69000
Aug,82000,64000,49000,67000
Sep,81000,62000,46000,65000
Oct,79000,60000,44000,64000
Nov,76000,58000,43000,63000
Dec,74000,57000,42000,63000
Jan-20,90000,65000,51000,66000
Feb,88000,63000,48000,65000
Mar,84000,60000,45000,63000
Apr,84000,58000,42000,61000
May,78000,55000,39000,58000
Jun,75000,53000,38000,56000
Jul,73000,53000,39000,55000
Aug,72000,53000,39000,55000
Sep,71000,53000,39000,54000
Oct,71000,54000,39000,55000
Nov,72000,54000,39000,55000
Dec,73000,55000,40000,56000
Jan-21,93000,72000,52000,72000
Feb,90000,71000,52000,72000
Mar,89000,70000,51000,71000
Apr,92000,75000,56000,74000
May,94000,77000,59000,76000
Jun,98000,80000,63000,79000
Jul,100000,82000,67000,81000
Aug,101000,84000,70000,83000
Sep,100000,85000,73000,84000
Oct,100000,86000,75000,85000
Nov,103000,88000,76000,87000
Dec,118000,96000,77000,95000
Jan-22,121000,127000,110000,127000
Feb,154000,133000,112000,133000
