Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,72000
Mar,67000,50000,77000
May,65000,50000,79000
Jul,64000,56000,78000
Sep,60000,53000,72000
Nov,60000,49000,68000
Jan-17,68000,54000,66000
Mar,61000,47000,61000
May,60000,43000,59000
Jul,58000,44000,57000
Sep,55000,43000,55000
Nov,53000,40000,53000
Jan-18,70000,48000,70000
Mar,63000,50000,76000
May,64000,52000,85000
Jul,64000,50000,81000
Sep,63000,51000,78000
Nov,62000,52000,77000
Jan-19,77000,60000,78000
Mar,74000,59000,93000
May,71000,57000,86000
Jul,69000,57000,84000
Sep,65000,50000,78000
Nov,58000,43000,73000
