Month,4YO,5YO,3-5YO Avg.
Jan-18,66000,54000,81000
Mar,63000,47000,84000
May,64000,50000,78000
Jul,64000,49000,82000
Sep,62000,52000,81000
Nov,62000,50000,78000
Jan-19,77000,62000,96000
Mar,72000,54000,84000
May,70000,53000,84000
Jul,67000,51000,82000
Sep,64000,47000,78000
Nov,60000,44000,76000
Jan-20,65000,51000,86000
Mar,62000,42000,85000
May,53000,38000,64000
Jul,52000,38000,55000
Sep,51000,37000,54000
Nov,50000,40000,53000
Jan-21,72000,50000,73000
Mar,71000,55000,72000
May,75000,58000,91000
Jul,79000,66000,99000
Sep,89000,73000,107000
