Month,4YO Slpr,4YO Dycb,5YO Slpr,5YO Dycb,6YO Slpr,6YO Dycb
Jan-22,123000,102000,107000,77000,78000,52000
Feb,132000,100000,112000,80000,84000,55000
Mar,139000,117000,117000,90000,91000,67000
Apr,138000,119000,115000,94000,96000,68000
May,129000,117000,110000,96000,93000,68000
Jun,120000,109000,104000,91000,86000,68000
Jul,114000,104000,97000,86000,79000,65000
Aug,107000,100000,93000,82000,73000,63000
Sep,103000,97000,90000,76000,70000,59000
Oct,101000,94000,88000,73000,68000,58000
Nov,97000,90000,84000,72000,63000,57000
Dec,88000,83000,75000,68000,59000,51000
Jan-23,84000,105000,79000,100000,62000,77000
Feb,82000,92000,75000,84000,64000,72000
Mar,79000,88000,71000,76000,60000,67000
Apr,75000,84000,66000,71000,55000,61000
May,72000,81000,62000,67000,51000,58000
Jun,72000,80000,61000,64000,49000,54000
Jul,72000,77000,60000,61000,47000,51000
Aug,71000,75000,58000,58000,44000,48000
Sep,71000,73000,56000,55000,42000,45000
Oct,68000,70000,54000,53000,40000,43000
Nov,62000,66000,54000,51000,38000,41000
Dec,55000,60000,52000,48000,36000,36000
Jan-24,76000,96000,60000,59000,46000,48000
Feb,80000,97000,63000,62000,48000,48000
