Month,3YO,4YO,5YO
Jan-19,94000,78000,60000
Mar,82000,68000,62000
May,95000,69000,58000
Jul,85000,66000,55000
Sep,82000,63000,51000
Nov,80000,60000,46000
Jan-20,89000,64000,44000
Mar,85000,66000,51000
May,82000,62000,44000
Jul,75000,57000,42000
Sep,72000,53000,38000
Nov,72000,51000,39000
Jan-21,92000,70000,50000
Mar,97000,72000,52000
May,101000,75000,54000
Jul,104000,80000,60000
Sep,107000,86000,66000
Nov,110000,93000,72000
Jan-22,120000,98000,76000
Mar,144000,132000,113000
May,166000,142000,116000
Jul,158000,138000,112000
Sep,147000,128000,104000
Nov,140000,118000,96000
Jan-23,127000,108000,84000
Mar,112000,95000,74000
May,112000,86000,68000
Jul,95000,76000,60000
