Month,3YO,4YO,5YO
Jan-19,95000,78000,60000
Mar,85000,69000,58000
May,95000,67000,54000
Jul,82000,63000,50000
Sep,85000,61000,49000
Nov,78000,64000,50000
Jan-20,90000,65000,52000
Mar,80000,57000,40000
May,85000,52000,38000
Jul,75000,52000,38000
Sep,72000,53000,40000
Nov,73000,53000,40000
Jan-21,93000,72000,52000
Mar,90000,73000,52000
May,97000,78000,60000
Jul,102000,80000,65000
Sep,105000,85000,70000
Nov,108000,90000,75000
Jan-22,118000,100000,80000
Mar,165000,140000,115000
May,170000,142000,118000
Jul,155000,130000,112000
Sep,145000,120000,105000
Nov,135000,110000,95000
Jan-23,130000,105000,85000
Mar,115000,95000,80000
May,112000,88000,75000
Jul,115000,80000,65000
Sep,108000,78000,60000
Nov,90000,65000,53000
