Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,73000
Mar,67000,50000,68000
May,62000,47000,64000
Jul,60000,44000,60000
Sep,60000,46000,60000
Nov,58000,45000,60000
Jan-17,58000,43000,61000
Mar,62000,47000,73000
May,62000,46000,70000
Jul,58000,44000,68000
Sep,54000,42000,63000
Nov,52000,40000,59000
Jan-18,52000,40000,58000
Mar,65000,48000,76000
May,64000,47000,72000
Jul,62000,50000,68000
Sep,64000,52000,67000
Nov,61000,53000,65000
Jan-19,62000,53000,67000
Mar,73000,58000,95000
May,72000,58000,88000
Jul,69000,57000,83000
Sep,64000,54000,81000
Nov,61000,50000,79000
Jan-20,62000,49000,76000
Mar,65000,47000,89000
May,64000,44000,84000
Jul,55000,38000,71000
Sep,52000,40000,70000
