Month,4YO,5YO,3-5YO Avg.
Jan-16,72000,58000,70000
Feb,68000,56000,67000
Mar,66000,51000,65000
Apr,64000,48000,63000
May,63000,43000,62000
Jun,61000,43000,61000
Jul,60000,48000,60000
Aug,59000,48000,59000
Sep,57000,45000,58000
Oct,55000,42000,57000
Nov,54000,41000,56000
Dec,65000,nan,66000
Jan-17,67000,46000,63000
Feb,66000,46000,62000
Mar,64000,49000,61000
Apr,62000,47000,60000
May,60000,44000,59000
Jun,58000,43000,58000
Jul,56000,44000,58000
Aug,54000,45000,59000
Sep,53000,43000,59000
Oct,51000,40000,59000
Nov,50000,41000,58000
Dec,70000,nan,71000
Jan-18,71000,nan,66000
Feb,66000,50000,64000
Mar,64000,48000,64000
Apr,64000,48000,64000
May,63000,50000,64000
Jun,64000,49000,64000
Jul,64000,51000,64000
Aug,63000,51000,63000
Sep,63000,52000,63000
Oct,62000,52000,61000
Nov (est.),61000,52000,61000
