Month,4YO,5YO,3-5YO Avg.
Jan-18,68000,57000,71000
Mar,65000,51000,83000
May,65000,50000,81000
Jul,65000,51000,80000
Sep,65000,52000,82000
Nov,66000,53000,78000
Jan-19,70000,62000,96000
Mar,73000,58000,91000
May,72000,57000,84000
Jul,71000,53000,83000
Sep,70000,48000,81000
Nov,69000,45000,78000
Jan-20,65000,43000,86000
Mar,62000,44000,84000
May,58000,41000,79000
Jul,54000,38000,71000
Sep,53000,39000,72000
Nov,55000,40000,71000
Jan-21,72000,50000,93000
Mar,73000,51000,88000
May,76000,54000,88000
Jul,81000,62000,99000
Sep,87000,71000,103000
Nov,92000,78000,121000
