Month,4YO Slpr,4YO Dycb,5YO Slpr,5YO Dycb,6YO Slpr,6YO Dycb
Jan-22,122000,102000,108000,110000,77000,53000
Feb-22,132000,105000,115000,117000,80000,60000
Mar-22,138000,115000,118000,118000,85000,68000
Apr-22,140000,120000,115000,117000,90000,70000
May-22,141000,115000,110000,112000,93000,72000
Jun-22,140000,110000,105000,108000,92000,71000
Jul-22,130000,105000,100000,105000,88000,68000
Aug-22,120000,100000,95000,100000,85000,65000
Sep-22,110000,95000,90000,95000,80000,62000
Oct-22,105000,90000,88000,90000,78000,60000
Nov-22,102000,88000,85000,85000,75000,58000
Dec-22,100000,85000,78000,75000,70000,60000
Jan-23,95000,98000,75000,73000,68000,62000
Feb-23,80000,90000,70000,70000,65000,60000
Mar-23,78000,85000,68000,68000,60000,57000
Apr-23,75000,82000,65000,65000,58000,55000
May-23,72000,78000,63000,63000,55000,53000
Jun-23,70000,75000,60000,60000,53000,50000
Jul-23,68000,73000,58000,58000,50000,47000
Aug-23,65000,70000,55000,55000,47000,45000
Sep-23,62000,65000,53000,53000,45000,43000
Oct-23,60000,60000,50000,50000,43000,41000
Nov-23,58000,58000,48000,48000,41000,39000
Dec-23,55000,55000,45000,45000,38000,36000
Jan-24,73000,93000,55000,58000,48000,45000
Feb-24,72000,90000,56000,59000,48000,45000
Mar-24,73000,80000,58000,60000,47000,43000
Apr-24,75000,75000,60000,62000,46000,42000
May-24,73000,73000,62000,63000,45000,41000
Jun-24,72000,72000,60000,60000,44000,40000
Jul-24,70000,70000,58000,58000,43000,39000
Aug-24,68000,68000,55000,55000,42000,38000
