Date,4YO,5YO,3-5YO Avg.
Jan-16,69000,58000,73000
Mar,67000,45000,71000
May,63000,52000,68000
Jul,61000,47000,66000
Sep,58000,50000,64000
Nov,55000,41000,63000
Jan-17,67000,45000,66000
Mar,65000,45000,64000
May,61000,52000,61000
Jul,60000,43000,59000
Sep,59000,40000,57000
Nov,52000,40000,52000
Jan-18,67000,56000,64000
Mar,65000,48000,64000
May,63000,49000,64000
Jul,63000,51000,64000
Sep,62000,51000,64000
Nov,61000,52000,64000
Jan-19,78000,58000,72000
Mar,70000,58000,70000
