Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,72000
Mar,67000,48000,68000
May,65000,44000,66000
Jul,63000,46000,64000
Sep,62000,41000,62000
Nov,61000,40000,61000
Jan-17,60000,41000,60000
Mar,61000,46000,62000
May,63000,51000,64000
Jul,60000,48000,61000
Sep,56000,43000,57000
Nov,53000,40000,54000
Jan-18,54000,47000,65000
Mar,64000,50000,65000
May,65000,47000,66000
Jul,65000,51000,66000
Sep,65000,51000,65000
Nov,63000,48000,63000
Jan-19,63000,51000,77000
Mar,72000,55000,78000
May,72000,58000,79000
Jul,71000,57000,77000
Sep,69000,54000,73000
Nov,66000,49000,69000
Jan-20,65000,47000,88000
Mar,67000,43000,89000
May,56000,37000,85000
Jul,50000,37000,70000
Sep,51000,41000,72000
