Month,3YO,4YO,5YO
Jan-19,94000,78000,61000
Mar,89000,70000,58000
May,82000,68000,55000
Jul,80000,67000,52000
Sep,77000,62000,48000
Nov,85000,58000,45000
Jan-20,85000,64000,44000
Mar,84000,62000,43000
May,76000,55000,39000
Jul,73000,54000,37000
Sep,73000,52000,38000
Nov,71000,50000,40000
Jan-21,90000,72000,50000
Mar,93000,76000,55000
May,101000,83000,62000
Jul,103000,87000,68000
Sep,106000,92000,75000
Nov,108000,97000,83000
Jan-22,142000,125000,110000
Mar,165000,141000,115000
May,167000,142000,117000
Jul,158000,138000,114000
Sep,142000,128000,108000
Nov,131000,119000,103000
Jan-23,119000,108000,94000
Mar,104000,95000,83000
May,97000,88000,76000
Jul,91000,82000,70000
Sep,89000,77000,64000
Nov,86000,73000,60000
Jan-24,110000,75000,40000
Mar,119000,78000,48000
May,117000,77000,51000
Jul,103000,73000,48000
Sep,97000,65000,45000
Nov,91000,59000,43000
