Month,4YO Slpr,4YO Dycb,5YO Slpr,5YO Dycb,6YO Slpr,6YO Dycb
Jan-22,122000,102000,106000,108000,76000,53000
Feb,132000,105000,114000,116000,82000,61000
Mar,138000,114000,117000,117000,88000,71000
Apr,142000,119000,114000,113000,95000,64000
May,139000,120000,112000,117000,92000,65000
Jun,130000,116000,109000,110000,88000,67000
Jul,125000,118000,100000,104000,79000,65000
Aug,119000,114000,96000,97000,76000,61000
Sep,110000,106000,94000,93000,75000,60000
Oct,103000,97000,91000,91000,71000,58000
Nov,100000,93000,88000,90000,68000,56000
Dec,95000,89000,81000,82000,63000,53000
Jan-23,94000,104000,78000,79000,59000,65000
Feb,90000,98000,75000,75000,54000,62000
Mar,87000,90000,73000,72000,52000,59000
Apr,84000,86000,70000,68000,50000,56000
May,82000,85000,67000,65000,48000,54000
Jun,78000,81000,64000,63000,46000,51000
Jul,75000,76000,61000,61000,44000,49000
Aug,72000,73000,59000,59000,42000,46000
Sep,68000,69000,56000,56000,41000,43000
Oct,65000,65000,55000,54000,40000,41000
Nov,62000,62000,53000,52000,39000,39000
Dec,60000,60000,50000,50000,38000,37000
Jan-24,76000,90000,59000,63000,46000,46000
Feb,78000,88000,62000,62000,46000,43000
Mar,77000,82000,63000,61000,44000,41000
Apr,74000,77000,61000,59000,43000,39000
May,72000,74000,58000,57000,42000,38000
Jun,71000,72000,56000,56000,41000,37000
Jul,70000,70000,55000,54000,40000,36000
Aug,68000,67000,53000,52000,39000,35000
Sep,66000,65000,52000,51000,38000,34000
Oct,64000,63000,50000,49000,37000,33000
Nov,62000,61000,49000,47000,36000,32000
Dec,60000,60000,47000,45000,35000,31000
