Month,4YO,5YO,3-5YO Avg.
Jan-15,79000,69000,80000
Mar,73000,63000,83000
May,71000,61000,79000
Jul,70000,59000,77000
Sep,68000,58000,76000
Nov,62000,53000,72000
Jan-16,72000,54000,93000
Mar,66000,50000,78000
May,67000,47000,77000
Jul,66000,43000,74000
Sep,63000,44000,68000
Nov,55000,40000,67000
Jan-17,66000,52000,79000
Mar,67000,48000,78000
May,66000,45000,82000
Jul,64000,44000,78000
Sep,55000,40000,68000
Nov,51000,40000,66000
Jan-18,66000,47000,91000
Mar,63000,47000,84000
May (est.),63000,46000,78000
