Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,78000,62000,78000
Mar-19,88000,70000,60000,75000
May-19,95000,70000,57000,73000
Jul-19,88000,68000,53000,71000
Sep-19,83000,65000,50000,68000
Nov-19,78000,60000,47000,63000
Jan-20,90000,68000,54000,71000
Mar-20,86000,64000,51000,68000
May-20,82000,55000,40000,60000
Jul-20,75000,52000,39000,58000
Sep-20,73000,52000,40000,57000
Nov-20,74000,50000,38000,55000
Jan-21,92000,72000,50000,73000
Mar-21,92000,71000,51000,72000
May-21,98000,76000,55000,78000
Jul-21,102000,80000,62000,82000
Sep-21,105000,84000,70000,87000
Nov-21,110000,90000,75000,94000
Jan-22,144000,127000,110000,128000
Mar-22,168000,140000,115000,140000
May-22,152000,138000,113000,136000
Jul-22,144000,115000,99000,118000
Sep-22,138000,113000,93000,113000
Nov-22,120000,103000,78000,98000
