Month,4YO,5YO,3-5YO Avg.
Jan-16,71000,58000,73000
Feb,67000,56000,79000
Mar,65000,51000,82000
Apr,63000,49000,81000
May,61000,52000,78000
Jun,60000,48000,75000
Jul,59000,47000,74000
Aug,57000,43000,73000
Sep,56000,43000,70000
Oct,55000,41000,68000
Nov,54000,41000,67000
Dec,67000,45000,67000
Jan-17,67000,45000,78000
Feb,66000,46000,80000
Mar,64000,49000,79000
Apr,62000,50000,76000
May,61000,48000,73000
Jun,59000,47000,72000
Jul,56000,45000,71000
Aug,54000,43000,70000
Sep,53000,42000,69000
Oct,52000,41000,67000
Nov,52000,40000,65000
Dec,68000,46000,70000
Jan-18,68000,57000,92000
Feb,64000,57000,84000
Mar,64000,57000,81000
Apr,64000,54000,77000
May,64000,53000,79000
Jun,63000,52000,83000
Jul,63000,50000,82000
Aug,64000,52000,79000
Sep,63000,51000,81000
Oct,62000,52000,83000
Nov,62000,49000,81000
Dec (est.),62000,50000,80000
