Date,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,74000,59000,72000
Mar,86000,70000,61000,71000
May,92000,72000,61000,72000
Jul,82000,66000,58000,67000
Sep,80000,63000,53000,64000
Nov,77000,60000,47000,60000
Jan-20,90000,66000,45000,64000
Mar,85000,60000,43000,59000
May,77000,55000,40000,54000
Jul,74000,53000,39000,53000
Sep,73000,52000,38000,51000
Nov,72000,52000,38000,51000
Jan-21,92000,68000,49000,65000
Mar,96000,72000,51000,69000
May,101000,76000,56000,74000
Jul,104000,83000,63000,80000
Sep,111000,92000,73000,89000
Nov,120000,98000,79000,96000
Jan-22,152000,132000,118000,132000
Mar,166000,140000,125000,140000
May,155000,143000,115000,138000
Jul,148000,118000,105000,123000
