Quarter,2YO_mean,2YO_median,2YO_min,2YO_max,2YO_mean_no_extremes,2YO_median_no_extremes,2YO_no_outliers_mean,2YO_no_outliers_median,2YO_no_outliers_min,2YO_no_outliers_max,2YO_no_outliers_mean_no_extremes,2YO_no_outliers_median_no_extremes,3YO_mean,3YO_median,3YO_min,3YO_max,3YO_mean_no_extremes,3YO_median_no_extremes,3YO_no_outliers_mean,3YO_no_outliers_median,3YO_no_outliers_min,3YO_no_outliers_max,3YO_no_outliers_mean_no_extremes,3YO_no_outliers_median_no_extremes,4YO_mean,4YO_median,4YO_min,4YO_max,4YO_mean_no_extremes,4YO_median_no_extremes,4YO_no_outliers_mean,4YO_no_outliers_median,4YO_no_outliers_min,4YO_no_outliers_max,4YO_no_outliers_mean_no_extremes,4YO_no_outliers_median_no_extremes,5YO_mean,5YO_median,5YO_min,5YO_max,5YO_mean_no_extremes,5YO_median_no_extremes,5YO_no_outliers_mean,5YO_no_outliers_median,5YO_no_outliers_min,5YO_no_outliers_max,5YO_no_outliers_mean_no_extremes,5YO_no_outliers_median_no_extremes
2017Q3,92500.0,92500.0,92000.0,93000.0,,,92500.0,92500.0,92000.0,93000.0,,,68000.0,68000.0,66000.0,70000.0,,,68000.0,68000.0,66000.0,70000.0,,,56440.27777777778,56100.0,52000.0,62000.0,56424.28571428572,56100.0,56440.27777777778,56100.0,52000.0,62000.0,56424.28571428572,56100.0,43720.833333333336,43300.0,39000.0,55000.0,43627.142857142855,43300.0,43720.833333333336,43300.0,39000.0,55000.0,43627.142857142855,43300.0
2017Q4,92000.0,92000.0,92000.0,92000.0,,,92000.0,92000.0,92000.0,92000.0,,,68000.0,68000.0,68000.0,68000.0,,,68000.0,68000.0,68000.0,68000.0,,,52780.85106382979,52000.0,50000.0,66000.0,52606.818181818184,52000.0,52780.85106382979,52000.0,50000.0,66000.0,52606.818181818184,52000.0,41517.02127659575,41000.0,39000.0,57000.0,41388.09523809524,41000.0,41517.02127659575,41000.0,39000.0,57000.0,41388.09523809524,41000.0
2018Q1,111500.0,111500.0,104000.0,119000.0,,,111500.0,111500.0,104000.0,119000.0,,,83000.0,83000.0,76000.0,90000.0,,,83000.0,83000.0,76000.0,90000.0,,,65395.91836734694,65500.0,51000.0,71000.0,65487.5,65500.0,65395.91836734694,65500.0,51000.0,71000.0,65487.5,65500.0,49481.63265306123,47000.0,40000.0,57000.0,49523.40425531915,47000.0,49481.63265306123,47000.0,40000.0,57000.0,49523.40425531915,47000.0
2018Q2,98000.0,98000.0,98000.0,98000.0,,,98000.0,98000.0,98000.0,98000.0,,,74000.0,74000.0,74000.0,74000.0,,,74000.0,74000.0,74000.0,74000.0,,,65016.94915254237,65000.0,61000.0,67000.0,64944.444444444445,65000.0,65016.94915254237,65000.0,61000.0,67000.0,64944.444444444445,65000.0,48355.93220338983,49000.0,46000.0,51000.0,48431.37254901961,49000.0,48355.93220338983,49000.0,46000.0,51000.0,48431.37254901961,49000.0
2018Q3,94500.0,94500.0,92000.0,97000.0,,,94500.0,94500.0,92000.0,97000.0,,,76500.0,76500.0,76000.0,77000.0,,,76500.0,76500.0,76000.0,77000.0,,,63873.5632183908,64000.0,62000.0,66000.0,63724.637681159424,64000.0,63873.5632183908,64000.0,62000.0,66000.0,63724.637681159424,64000.0,50160.91954022989,50000.0,46000.0,52000.0,49918.91891891892,50000.0,50160.91954022989,50000.0,46000.0,52000.0,49918.91891891892,50000.0
2018Q4,88000.0,88000.0,88000.0,88000.0,,,88000.0,88000.0,88000.0,88000.0,,,72000.0,72000.0,72000.0,72000.0,,,72000.0,72000.0,72000.0,72000.0,,,62156.86274509804,62000.0,61000.0,64000.0,62119.04761904762,62000.0,62156.86274509804,62000.0,61000.0,64000.0,62119.04761904762,62000.0,51400.0,52000.0,47000.0,53000.0,51111.11111111111,52000.0,51400.0,52000.0,47000.0,53000.0,51111.11111111111,52000.0
2019Q1,121500.0,121500.0,115000.0,128000.0,,,115000.0,115000.0,115000.0,115000.0,,,89531.25,90500.0,81000.0,97000.0,89548.3870967742,90500.0,89531.25,90500.0,81000.0,97000.0,89548.3870967742,90500.0,72905.1094890511,72000.0,62000.0,80000.0,73014.92537313433,72000.0,72905.1094890511,72000.0,62000.0,80000.0,73014.92537313433,72000.0,59138.686131386865,59000.0,50000.0,63000.0,59177.77777777778,59000.0,59138.686131386865,59000.0,50000.0,63000.0,59177.77777777778,59000.0
2019Q2,110000.0,110000.0,110000.0,110000.0,,,110000.0,110000.0,110000.0,110000.0,,,91485.71428571429,93000.0,80000.0,94000.0,90476.19047619047,92000.0,91485.71428571429,93000.0,80000.0,94000.0,90476.19047619047,92000.0,69918.91891891892,70000.0,66000.0,75000.0,69902.77777777778,70000.0,69918.91891891892,70000.0,66000.0,75000.0,69902.77777777778,70000.0,56445.94594594595,57000.0,48000.0,69000.0,56388.88888888889,57000.0,56445.94594594595,57000.0,48000.0,69000.0,56388.88888888889,57000.0
2019Q3,107000.0,107000.0,107000.0,107000.0,,,107000.0,107000.0,107000.0,107000.0,,,83269.84126984127,82000.0,76000.0,95000.0,83196.72131147541,82000.0,83269.84126984127,82000.0,76000.0,95000.0,83196.72131147541,82000.0,66064.51612903226,67000.0,57000.0,72000.0,66041.32231404958,67000.0,66064.51612903226,67000.0,57000.0,72000.0,66041.32231404958,67000.0,51491.93548387097,52000.0,44000.0,59000.0,51364.40677966102,51500.0,51491.93548387097,52000.0,44000.0,59000.0,51364.40677966102,51500.0
2019Q4,,,,,,,,,,,,,77558.82352941176,78000.0,72000.0,88000.0,77406.25,78000.0,77558.82352941176,78000.0,72000.0,88000.0,77406.25,78000.0,60676.470588235294,60000.0,56000.0,69000.0,60621.21212121212,60000.0,60676.470588235294,60000.0,56000.0,69000.0,60621.21212121212,60000.0,45823.529411764706,46000.0,42000.0,57000.0,46035.087719298244,46000.0,45823.529411764706,46000.0,42000.0,57000.0,46035.087719298244,46000.0
2020Q1,,,,,,,,,,,,,86064.51612903226,86000.0,72000.0,90000.0,85735.84905660378,86000.0,86064.51612903226,86000.0,72000.0,90000.0,85735.84905660378,86000.0,63097.345132743365,64000.0,50000.0,71000.0,63144.14414414414,64000.0,63097.345132743365,64000.0,50000.0,71000.0,63144.14414414414,64000.0,44345.13274336283,43000.0,38000.0,56000.0,44297.2972972973,43000.0,44345.13274336283,43000.0,38000.0,56000.0,44297.2972972973,43000.0
2020Q2,,,,,,,,,,,,,79441.17647058824,78500.0,70000.0,85000.0,79000.0,78000.0,79441.17647058824,78500.0,70000.0,85000.0,79000.0,78000.0,56587.30158730159,56000.0,51000.0,64000.0,56525.42372881356,56000.0,56587.30158730159,56000.0,51000.0,64000.0,56525.42372881356,56000.0,39396.8253968254,39000.0,38000.0,45000.0,40531.25,40000.0,39396.8253968254,39000.0,38000.0,45000.0,40531.25,40000.0
2020Q3,,,,,,,,,,,,,72548.3870967742,72000.0,70000.0,78000.0,72679.24528301887,72000.0,72548.3870967742,72000.0,70000.0,78000.0,72679.24528301887,72000.0,52931.37254901961,52000.0,50000.0,62000.0,52989.583333333336,52000.0,52931.37254901961,52000.0,50000.0,62000.0,52989.583333333336,52000.0,38813.72549019608,39000.0,36000.0,47000.0,38760.0,39000.0,38813.72549019608,39000.0,36000.0,47000.0,38760.0,39000.0
2020Q4,,,,,,,,,,,,,72117.64705882352,72000.0,70000.0,76000.0,72129.03225806452,72000.0,72117.64705882352,72000.0,70000.0,76000.0,72129.03225806452,72000.0,52465.51724137931,52000.0,50000.0,60000.0,52607.8431372549,52000.0,52465.51724137931,52000.0,50000.0,60000.0,52607.8431372549,52000.0,39620.68965517241,40000.0,36000.0,42000.0,39600.0,40000.0,39620.68965517241,40000.0,36000.0,42000.0,39600.0,40000.0
2021Q1,,,,,,,,,,,,,89451.6129032258,92000.0,72000.0,98000.0,90943.39622641509,92000.0,89451.6129032258,92000.0,72000.0,98000.0,90943.39622641509,92000.0,68333.33333333333,72000.0,50000.0,78000.0,69439.0243902439,72000.0,68333.33333333333,72000.0,50000.0,78000.0,69439.0243902439,72000.0,50711.11111111111,52000.0,39000.0,60000.0,50738.63636363636,52000.0,50711.11111111111,52000.0,39000.0,60000.0,50738.63636363636,52000.0
2021Q2,,,,,,,,,,,,,96941.17647058824,98000.0,85000.0,102000.0,96833.33333333333,98000.0,96941.17647058824,98000.0,85000.0,102000.0,96833.33333333333,98000.0,75456.52173913043,76000.0,52000.0,81000.0,75744.18604651163,76000.0,75456.52173913043,76000.0,52000.0,81000.0,75744.18604651163,76000.0,57717.391304347824,58500.0,38000.0,64000.0,58022.72727272727,58500.0,57717.391304347824,58500.0,38000.0,64000.0,58022.72727272727,58500.0
2021Q3,,,,,,,,,,,,,101774.19354838709,102000.0,90000.0,114000.0,101766.66666666667,102000.0,101774.19354838709,102000.0,90000.0,114000.0,101766.66666666667,102000.0,82519.48051948052,83000.0,53000.0,95000.0,82746.66666666667,83000.0,82519.48051948052,83000.0,53000.0,95000.0,82746.66666666667,83000.0,66103.8961038961,67000.0,40000.0,75000.0,66689.18918918919,67000.0,66103.8961038961,67000.0,40000.0,75000.0,66689.18918918919,67000.0
2021Q4,,,,,,,,,,,,,112470.58823529411,110000.0,102000.0,121000.0,112531.25,110000.0,112470.58823529411,110000.0,102000.0,121000.0,112531.25,110000.0,92846.15384615384,93000.0,83000.0,105000.0,92783.78378378379,93000.0,92846.15384615384,93000.0,83000.0,105000.0,92783.78378378379,93000.0,76230.76923076923,77000.0,65000.0,91000.0,76135.13513513513,77000.0,75842.1052631579,77000.0,65000.0,82000.0,75972.22222222222,77000.0
2022Q1,,,,,,,,,,,,,143540.9836065574,145000.0,119000.0,170000.0,143508.4745762712,145000.0,134317.07317073172,140000.0,119000.0,152000.0,133789.47368421053,137500.0,124721.31147540984,127000.0,97000.0,142000.0,125877.19298245614,130000.0,98000.0,98000.0,97000.0,100000.0,98125.0,98000.0,104918.03278688525,112000.0,75000.0,118000.0,105203.38983050847,112000.0,78750.0,79000.0,75000.0,82000.0,78444.44444444444,78000.0
